source,destination,weather,congestion,distance,cargo,risk
Chennai,Singapore,3,1,7962,fragile,53
Chennai,Shanghai,4,4,5594,normal,77
Chennai,Shenzhen,3,3,2538,normal,59
Chennai,Guangzhou,3,1,10779,normal,43
Chennai,Hong Kong,5,5,8166,normal,95
Chennai,Tokyo,1,3,6767,fragile,49
Chennai,Osaka,5,1,8238,fragile,73
Chennai,Busan,1,3,1527,normal,39
Chennai,Bangkok,4,2,9183,fragile,71
Chennai,Jakarta,5,2,11007,normal,71
Chennai,Dubai,1,3,3637,fragile,49
Chennai,Doha,5,5,8547,fragile,105
Chennai,Riyadh,5,5,7076,fragile,105
Chennai,Jeddah,4,2,9430,normal,61
Chennai,Istanbul,2,4,11773,normal,57
Chennai,Hamburg,5,1,11315,normal,63
Chennai,Rotterdam,2,3,6772,fragile,59
Chennai,Antwerp,3,3,11930,fragile,69
Chennai,London,4,3,7935,fragile,79
Chennai,Le Havre,4,3,2189,normal,69
Chennai,Barcelona,2,4,9300,normal,57
Chennai,Genoa,5,3,5623,fragile,89
Chennai,Athens,2,4,6305,fragile,67
Chennai,New York,4,5,9296,fragile,95
Chennai,Los Angeles,1,4,6645,normal,47
Chennai,San Francisco,1,3,9920,fragile,49
Chennai,Seattle,2,2,6975,normal,41
Chennai,Houston,1,5,10335,normal,55
Chennai,Miami,1,3,5458,normal,39
Chennai,Vancouver,2,2,5202,normal,41
Chennai,Toronto,3,3,9718,normal,59
Chennai,Montreal,2,3,7513,normal,49
Chennai,Sydney,3,3,3700,fragile,69
Chennai,Melbourne,2,2,6607,fragile,51
Chennai,Auckland,2,3,3563,fragile,59
Chennai,Cape Town,1,2,2728,normal,31
Chennai,Durban,2,2,7203,fragile,51
Chennai,Lagos,4,3,1949,fragile,79
Chennai,Nairobi,2,5,2806,normal,65
Chennai,Santos,1,4,11004,fragile,57
Chennai,Rio de Janeiro,1,5,7204,normal,55
Chennai,Buenos Aires,1,1,9059,normal,23
Chennai,Lima,1,4,7609,normal,47
Chennai,Panama City,4,1,8237,normal,53
Chennai,Manila,5,4,7423,normal,87
Chennai,Ho Chi Minh City,5,2,7091,fragile,81
Chennai,Kuala Lumpur,2,1,10127,fragile,43
Kolkata,Mumbai,1,5,1161,fragile,65
Kolkata,Chennai,3,1,4902,fragile,53
Kolkata,Kolkata,4,4,4521,fragile,87
Kolkata,Delhi,3,5,1466,normal,75
Kolkata,Visakhapatnam,4,1,7254,fragile,63
Kolkata,Singapore,2,5,1455,fragile,75
Kolkata,Shanghai,3,1,6248,fragile,53
Kolkata,Shenzhen,1,2,10395,normal,31
Kolkata,Guangzhou,3,4,3703,fragile,77
Kolkata,Hong Kong,5,5,2481,fragile,105
Kolkata,Tokyo,2,2,4298,normal,41
Kolkata,Osaka,2,5,3216,normal,65
Kolkata,Busan,4,3,1593,fragile,79
Kolkata,Bangkok,2,2,6970,fragile,51
Kolkata,Jakarta,2,1,11902,normal,33
Kolkata,Dubai,1,1,5431,fragile,33
Kolkata,Doha,4,5,11484,fragile,95
Kolkata,Riyadh,2,4,11801,fragile,67
Kolkata,Jeddah,5,1,3349,normal,63
Kolkata,Istanbul,4,2,4633,fragile,71
Kolkata,Hamburg,3,3,7321,fragile,69
Kolkata,Rotterdam,4,2,2803,fragile,71
Kolkata,Antwerp,2,2,1240,normal,41
Kolkata,London,1,1,5836,fragile,33
Kolkata,Le Havre,3,3,1615,normal,59
Kolkata,Barcelona,4,3,1410,fragile,79
Kolkata,Genoa,3,3,2560,normal,59
Kolkata,Athens,5,3,5387,fragile,89
Kolkata,New York,4,1,2863,normal,53
Kolkata,Los Angeles,2,1,8434,normal,33
Kolkata,San Francisco,2,3,8548,fragile,59
Kolkata,Seattle,1,1,4839,fragile,33
Kolkata,Houston,4,2,2743,fragile,71
Kolkata,Miami,3,3,8964,normal,59
Kolkata,Vancouver,4,5,9696,normal,85
Kolkata,Toronto,3,3,1178,normal,59
Kolkata,Montreal,4,1,5291,fragile,63
Kolkata,Sydney,3,2,11612,fragile,61
Kolkata,Melbourne,2,1,3917,normal,33
Kolkata,Auckland,5,3,1080,fragile,89
Kolkata,Cape Town,5,3,5167,normal,79
Kolkata,Durban,3,4,2842,normal,67
Kolkata,Lagos,5,5,8724,fragile,105
Kolkata,Nairobi,1,3,2136,fragile,49
Kolkata,Santos,1,4,2150,normal,47
Kolkata,Rio de Janeiro,1,2,1738,normal,31
Kolkata,Buenos Aires,2,2,5438,fragile,51
Kolkata,Lima,5,5,4717,fragile,105
Kolkata,Panama City,4,2,5242,normal,61
Kolkata,Manila,5,2,6551,fragile,81
Kolkata,Ho Chi Minh City,1,1,9686,normal,23
Kolkata,Kuala Lumpur,4,3,11421,normal,69
Delhi,Mumbai,2,4,6440,normal,57
Delhi,Chennai,5,5,10939,fragile,105
Delhi,Kolkata,3,5,9211,fragile,85
Delhi,Delhi,3,5,6297,fragile,85
Delhi,Visakhapatnam,1,4,3747,fragile,57
Delhi,Singapore,4,3,10811,fragile,79
Delhi,Shanghai,1,2,11486,fragile,41
Delhi,Shenzhen,3,2,10765,fragile,61
Delhi,Guangzhou,2,2,2152,fragile,51
Delhi,Hong Kong,4,4,2872,normal,77
Delhi,Tokyo,5,5,11545,normal,95
Delhi,Osaka,4,1,6148,normal,53
Delhi,Busan,3,5,5474,normal,75
Delhi,Bangkok,4,5,2634,normal,85
Delhi,Jakarta,3,2,1286,normal,51
Delhi,Dubai,3,3,7683,fragile,69
Delhi,Doha,4,3,11417,fragile,79
Delhi,Riyadh,2,3,2506,normal,49
Delhi,Jeddah,4,2,7222,fragile,71
Delhi,Istanbul,4,3,11746,normal,69
Delhi,Hamburg,3,2,6906,normal,51
Delhi,Rotterdam,4,1,2597,normal,53
Delhi,Antwerp,4,2,4290,fragile,71
Delhi,London,5,2,3686,fragile,81
Delhi,Le Havre,5,2,1327,fragile,81
Delhi,Barcelona,2,2,11600,fragile,51
Delhi,Genoa,2,2,2259,normal,41
Delhi,Athens,5,4,6286,fragile,97
Delhi,New York,2,1,9766,fragile,43
Delhi,Los Angeles,4,2,6547,normal,61
Delhi,San Francisco,4,1,3823,normal,53
Delhi,Seattle,2,3,3230,fragile,59
Delhi,Houston,4,1,5057,normal,53
Delhi,Miami,4,3,10552,normal,69
Delhi,Vancouver,2,4,4447,fragile,67
Delhi,Toronto,2,5,5585,fragile,75
Delhi,Montreal,5,2,10030,fragile,81
Delhi,Sydney,4,2,11606,normal,61
Delhi,Melbourne,3,4,8477,fragile,77
Delhi,Auckland,1,4,6124,fragile,57
Delhi,Cape Town,4,1,11266,normal,53
Delhi,Durban,3,4,10740,normal,67
Delhi,Lagos,5,5,3104,fragile,105
Delhi,Nairobi,2,4,5893,normal,57
Delhi,Santos,4,2,6219,normal,61
Delhi,Rio de Janeiro,2,4,2379,normal,57
Delhi,Buenos Aires,1,4,1207,normal,47
Delhi,Lima,1,4,9684,fragile,57
Delhi,Panama City,3,3,10154,normal,59
Delhi,Manila,4,5,7078,normal,85
Delhi,Ho Chi Minh City,5,2,1947,normal,71
Delhi,Kuala Lumpur,4,4,3684,normal,77
Visakhapatnam,Mumbai,3,4,7228,fragile,77
Visakhapatnam,Chennai,4,3,1894,normal,69
Visakhapatnam,Kolkata,1,2,8978,fragile,41
Visakhapatnam,Delhi,3,5,5452,normal,75
Visakhapatnam,Visakhapatnam,4,4,7812,fragile,87
Visakhapatnam,Singapore,2,2,3288,fragile,51
Visakhapatnam,Shanghai,1,2,10703,fragile,41
Visakhapatnam,Shenzhen,2,2,5716,normal,41
Visakhapatnam,Guangzhou,5,5,4208,fragile,105
Visakhapatnam,Hong Kong,5,2,10015,fragile,81
Visakhapatnam,Tokyo,3,3,9602,fragile,69
Visakhapatnam,Osaka,4,5,8612,normal,85
Visakhapatnam,Busan,2,2,5024,fragile,51
Visakhapatnam,Bangkok,1,1,4624,normal,23
Visakhapatnam,Jakarta,3,4,7361,normal,67
Visakhapatnam,Dubai,3,4,11350,fragile,77
Visakhapatnam,Doha,4,1,5926,fragile,63
Visakhapatnam,Riyadh,1,4,11980,normal,47
Visakhapatnam,Jeddah,5,3,7273,normal,79
Visakhapatnam,Istanbul,1,5,10136,normal,55
Visakhapatnam,Hamburg,2,5,1794,fragile,75
Visakhapatnam,Rotterdam,2,4,3563,fragile,67
Visakhapatnam,Antwerp,5,2,4738,fragile,81
Visakhapatnam,London,3,2,11530,normal,51
Visakhapatnam,Le Havre,5,2,2648,fragile,81
Visakhapatnam,Barcelona,1,4,1047,normal,47
Visakhapatnam,Genoa,5,2,10484,fragile,81
Visakhapatnam,Athens,4,1,5670,fragile,63
Visakhapatnam,New York,1,1,4188,normal,23
Visakhapatnam,Los Angeles,2,3,6796,fragile,59
Visakhapatnam,San Francisco,2,4,9529,normal,57
Visakhapatnam,Seattle,3,5,9858,fragile,85
Visakhapatnam,Houston,1,1,7436,fragile,33
Visakhapatnam,Miami,2,2,10890,normal,41
Visakhapatnam,Vancouver,1,3,10633,normal,39
Visakhapatnam,Toronto,4,4,1722,fragile,87
Visakhapatnam,Montreal,1,1,6321,fragile,33
Visakhapatnam,Sydney,2,2,4715,normal,41
Visakhapatnam,Melbourne,5,4,10504,fragile,97
Visakhapatnam,Auckland,2,5,10079,normal,65
Visakhapatnam,Cape Town,2,3,5468,normal,49
Visakhapatnam,Durban,3,5,8013,normal,75
Visakhapatnam,Lagos,2,2,11019,fragile,51
Visakhapatnam,Nairobi,3,5,8044,fragile,85
Visakhapatnam,Santos,1,4,7763,normal,47
Visakhapatnam,Rio de Janeiro,1,5,9320,normal,55
Visakhapatnam,Buenos Aires,2,5,10167,fragile,75
Visakhapatnam,Lima,5,5,8946,normal,95
Visakhapatnam,Panama City,2,1,10766,normal,33
Visakhapatnam,Manila,4,3,5465,normal,69
Visakhapatnam,Ho Chi Minh City,1,5,8353,fragile,65
Visakhapatnam,Kuala Lumpur,3,4,7541,fragile,77
Singapore,Mumbai,4,4,9920,fragile,87
Singapore,Chennai,5,1,4889,fragile,73
Singapore,Kolkata,5,1,3867,normal,63
Singapore,Delhi,2,4,2766,fragile,67
Singapore,Visakhapatnam,3,3,7661,fragile,69
Singapore,Singapore,1,4,7132,fragile,57
Singapore,Shanghai,4,3,5940,normal,69
Singapore,Shenzhen,2,4,2906,fragile,67
Singapore,Guangzhou,1,2,9584,normal,31
Singapore,Hong Kong,2,1,8677,normal,33
Singapore,Tokyo,4,1,8391,normal,53
Singapore,Osaka,4,1,8780,normal,53
Singapore,Busan,5,4,9022,fragile,97
Singapore,Bangkok,3,4,1114,fragile,77
Singapore,Jakarta,1,1,5091,fragile,33
Singapore,Dubai,4,4,1974,normal,77
Singapore,Doha,3,3,6832,fragile,69
Singapore,Riyadh,4,2,9734,normal,61
Singapore,Jeddah,3,4,11673,fragile,77
Singapore,Istanbul,3,5,6017,normal,75
Singapore,Hamburg,3,1,4989,fragile,53
Singapore,Rotterdam,4,3,9508,normal,69
Singapore,Antwerp,1,1,8958,fragile,33
Singapore,London,5,2,5473,normal,71
Singapore,Le Havre,2,5,7238,normal,65
Singapore,Barcelona,5,3,1234,normal,79
Singapore,Genoa,1,4,11441,fragile,57
Singapore,Athens,5,4,8673,normal,87
Singapore,New York,2,3,1909,fragile,59
Singapore,Los Angeles,1,5,9152,fragile,65
Singapore,San Francisco,5,1,11724,fragile,73
Singapore,Seattle,2,2,11389,normal,41
Singapore,Houston,2,4,4826,normal,57
Singapore,Miami,1,2,2853,fragile,41
Singapore,Vancouver,5,2,10462,fragile,81
Singapore,Toronto,1,4,3148,normal,47
Singapore,Montreal,2,1,7168,normal,33
Singapore,Sydney,5,4,1789,fragile,97
Singapore,Melbourne,1,2,3601,fragile,41
Singapore,Auckland,1,2,7735,normal,31
Singapore,Cape Town,3,5,8820,normal,75
Singapore,Durban,4,4,6691,fragile,87
Singapore,Lagos,2,5,1633,normal,65
Singapore,Nairobi,2,4,6991,fragile,67
Singapore,Santos,5,3,11147,normal,79
Singapore,Rio de Janeiro,3,5,7562,normal,75
Singapore,Buenos Aires,3,5,6923,fragile,85
Singapore,Lima,4,5,10035,fragile,95
Singapore,Panama City,5,2,8393,fragile,81
Singapore,Manila,1,3,9578,fragile,49
Singapore,Ho Chi Minh City,2,4,6623,normal,57
Singapore,Kuala Lumpur,4,2,1831,fragile,71
Shanghai,Mumbai,3,4,7758,normal,67
Shanghai,Chennai,3,1,4017,normal,43
Shanghai,Kolkata,1,1,7519,fragile,33
Shanghai,Delhi,2,2,4363,normal,41
Shanghai,Visakhapatnam,3,4,10093,fragile,77
Shanghai,Singapore,1,4,8703,normal,47
Shanghai,Shanghai,2,1,4017,fragile,43
Shanghai,Shenzhen,2,5,1106,normal,65
Shanghai,Guangzhou,1,1,7749,fragile,33
Shanghai,Hong Kong,3,4,5292,fragile,77
Shanghai,Tokyo,3,5,5534,normal,75
Shanghai,Osaka,4,1,7709,fragile,63
Shanghai,Busan,4,5,1054,fragile,95
Shanghai,Bangkok,1,4,5239,normal,47
Shanghai,Jakarta,2,3,1296,normal,49
Shanghai,Dubai,1,3,2722,fragile,49
Shanghai,Doha,5,4,9507,normal,87
Shanghai,Riyadh,1,3,9140,normal,39
Shanghai,Jeddah,3,2,10927,normal,51
Shanghai,Istanbul,3,5,3337,fragile,85
Shanghai,Hamburg,1,2,5086,fragile,41
Shanghai,Rotterdam,3,2,11525,normal,51
Shanghai,Antwerp,5,2,9553,fragile,81
Shanghai,London,1,4,2541,normal,47
Shanghai,Le Havre,2,4,2894,normal,57
Shanghai,Barcelona,1,3,11687,fragile,49
Shanghai,Genoa,3,3,3239,normal,59
Shanghai,Athens,5,2,8266,normal,71
Shanghai,New York,4,3,5487,normal,69
Shanghai,Los Angeles,5,3,8525,normal,79
Shanghai,San Francisco,2,5,2001,normal,65
Shanghai,Seattle,5,4,11414,normal,87
Shanghai,Houston,2,4,7210,normal,57
Shanghai,Miami,1,4,9041,fragile,57
Shanghai,Vancouver,4,3,9695,fragile,79
Shanghai,Toronto,5,3,8507,normal,79
Shanghai,Montreal,3,1,4625,normal,43
Shanghai,Sydney,5,2,9594,normal,71
Shanghai,Melbourne,3,5,6507,normal,75
Shanghai,Auckland,4,1,3406,normal,53
Shanghai,Cape Town,1,3,4456,normal,39
Shanghai,Durban,3,2,5148,normal,51
Shanghai,Lagos,5,2,1389,fragile,81
Shanghai,Nairobi,3,1,9842,normal,43
Shanghai,Santos,2,5,4266,fragile,75
Shanghai,Rio de Janeiro,1,3,10997,fragile,49
Shanghai,Buenos Aires,3,3,2270,fragile,69
Shanghai,Lima,2,5,3709,fragile,75
Shanghai,Panama City,3,1,4085,normal,43
Shanghai,Manila,5,1,11845,fragile,73
Shanghai,Ho Chi Minh City,1,4,1716,normal,47
Shanghai,Kuala Lumpur,4,3,9370,fragile,79
Shenzhen,Mumbai,5,1,4934,fragile,73
Shenzhen,Chennai,4,1,11495,fragile,63
Shenzhen,Kolkata,2,4,10380,normal,57
Shenzhen,Delhi,3,3,7784,fragile,69
Shenzhen,Visakhapatnam,1,2,9152,fragile,41
Shenzhen,Singapore,2,4,11199,fragile,67
Shenzhen,Shanghai,5,3,2271,normal,79
Shenzhen,Shenzhen,3,5,11406,normal,75
Shenzhen,Guangzhou,2,1,9540,normal,33
Shenzhen,Hong Kong,2,2,1753,normal,41
Shenzhen,Tokyo,2,3,1156,normal,49
Shenzhen,Osaka,4,5,9053,fragile,95
Shenzhen,Busan,1,2,3469,fragile,41
Shenzhen,Bangkok,2,1,5759,normal,33
Shenzhen,Jakarta,5,2,5842,fragile,81
Shenzhen,Dubai,4,3,3175,normal,69
Shenzhen,Doha,4,1,1798,fragile,63
Shenzhen,Riyadh,5,5,2376,normal,95
Shenzhen,Jeddah,3,4,8940,normal,67
Shenzhen,Istanbul,3,5,8968,normal,75
Shenzhen,Hamburg,2,5,1617,fragile,75
Shenzhen,Rotterdam,4,3,5854,fragile,79
Shenzhen,Antwerp,3,2,11792,fragile,61
Shenzhen,London,5,3,10352,normal,79
Shenzhen,Le Havre,5,5,2161,normal,95
Shenzhen,Barcelona,4,2,8217,normal,61
Shenzhen,Genoa,5,5,3210,normal,95
Shenzhen,Athens,2,5,1078,fragile,75
Shenzhen,New York,5,3,4814,fragile,89
Shenzhen,Los Angeles,5,1,4846,normal,63
Shenzhen,San Francisco,3,3,8974,normal,59
Shenzhen,Seattle,1,2,11663,normal,31
Shenzhen,Houston,1,2,9668,fragile,41
Shenzhen,Miami,5,2,6027,normal,71
Shenzhen,Vancouver,1,3,3313,normal,39
Shenzhen,Toronto,5,3,9901,fragile,89
Shenzhen,Montreal,3,2,11362,normal,51
Shenzhen,Sydney,4,1,11873,fragile,63
Shenzhen,Melbourne,4,3,8187,normal,69
Shenzhen,Auckland,2,4,4362,normal,57
Shenzhen,Cape Town,1,3,6302,fragile,49
Shenzhen,Durban,5,2,3880,fragile,81
Shenzhen,Lagos,2,1,10172,fragile,43
Shenzhen,Nairobi,1,2,10876,normal,31
Shenzhen,Santos,4,3,4144,fragile,79
Shenzhen,Rio de Janeiro,4,3,3125,normal,69
Shenzhen,Buenos Aires,2,2,4984,normal,41
Shenzhen,Lima,3,3,8052,normal,59
Shenzhen,Panama City,2,2,6727,normal,41
Shenzhen,Manila,1,2,1037,fragile,41
Shenzhen,Ho Chi Minh City,2,2,1441,normal,41
Shenzhen,Kuala Lumpur,1,4,11986,normal,47
Guangzhou,Mumbai,1,2,7935,normal,31
Guangzhou,Chennai,3,5,1561,normal,75
Guangzhou,Kolkata,1,5,6099,fragile,65
Guangzhou,Delhi,2,4,1594,normal,57
Guangzhou,Visakhapatnam,4,5,11432,fragile,95
Guangzhou,Singapore,4,1,6459,normal,53
Guangzhou,Shanghai,2,1,10712,normal,33
Guangzhou,Shenzhen,5,1,8048,normal,63
Guangzhou,Guangzhou,3,3,4214,normal,59
Guangzhou,Hong Kong,2,5,4115,normal,65
Guangzhou,Tokyo,3,3,4416,normal,59
Guangzhou,Osaka,5,5,2612,fragile,105
Guangzhou,Busan,2,5,5426,normal,65
Guangzhou,Bangkok,3,5,6979,fragile,85
Guangzhou,Jakarta,3,4,3559,normal,67
Guangzhou,Dubai,1,1,3313,fragile,33
Guangzhou,Doha,4,5,5675,fragile,95
Guangzhou,Riyadh,2,1,8527,fragile,43
Guangzhou,Jeddah,1,3,11460,fragile,49
Guangzhou,Istanbul,2,5,2575,fragile,75
Guangzhou,Hamburg,5,3,3839,normal,79
Guangzhou,Rotterdam,1,4,8504,normal,47
Guangzhou,Antwerp,4,3,7544,fragile,79
Guangzhou,London,2,5,3915,fragile,75
Guangzhou,Le Havre,5,2,8074,normal,71
Guangzhou,Barcelona,2,4,1129,fragile,67
Guangzhou,Genoa,4,2,11769,normal,61
Guangzhou,Athens,2,5,5995,fragile,75
Guangzhou,New York,4,1,2820,normal,53
Guangzhou,Los Angeles,2,1,6292,fragile,43
Guangzhou,San Francisco,3,4,9645,fragile,77
Guangzhou,Seattle,5,5,6066,normal,95
Guangzhou,Houston,2,1,10654,normal,33
Guangzhou,Miami,3,2,11626,fragile,61
Guangzhou,Vancouver,1,3,8031,normal,39
Guangzhou,Toronto,3,4,6638,fragile,77
Guangzhou,Montreal,1,3,10080,fragile,49
Guangzhou,Sydney,3,2,1645,normal,51
Guangzhou,Melbourne,3,3,8077,fragile,69
Guangzhou,Auckland,4,1,2836,fragile,63
Guangzhou,Cape Town,4,5,9591,fragile,95
Guangzhou,Durban,4,4,10160,fragile,87
Guangzhou,Lagos,5,3,8335,normal,79
Guangzhou,Nairobi,4,1,6129,normal,53
Guangzhou,Santos,2,4,11559,normal,57
Guangzhou,Rio de Janeiro,4,4,4937,normal,77
Guangzhou,Buenos Aires,1,1,2199,fragile,33
Guangzhou,Lima,3,3,8066,normal,59
Guangzhou,Panama City,5,2,5080,fragile,81
Guangzhou,Manila,4,4,7004,normal,77
Guangzhou,Ho Chi Minh City,1,2,8089,normal,31
Guangzhou,Kuala Lumpur,2,4,2208,normal,57
Hong Kong,Mumbai,3,5,6664,normal,75
Hong Kong,Chennai,3,3,1358,fragile,69
Hong Kong,Kolkata,5,2,5450,fragile,81
Hong Kong,Delhi,2,1,3897,fragile,43
Hong Kong,Visakhapatnam,1,1,5574,fragile,33
Hong Kong,Singapore,5,5,1751,fragile,105
Hong Kong,Shanghai,5,2,10279,normal,71
Hong Kong,Shenzhen,4,5,5958,fragile,95
Hong Kong,Guangzhou,2,3,1974,fragile,59
Hong Kong,Hong Kong,2,3,9808,normal,49
Hong Kong,Tokyo,2,1,5849,fragile,43
Hong Kong,Osaka,4,3,3824,fragile,79
Hong Kong,Busan,2,2,1287,fragile,51
Hong Kong,Bangkok,2,1,10923,normal,33
Hong Kong,Jakarta,2,1,7450,fragile,43
Hong Kong,Dubai,1,2,10287,normal,31
Hong Kong,Doha,1,3,5831,normal,39
Hong Kong,Riyadh,5,2,4224,normal,71
Hong Kong,Jeddah,3,4,4584,normal,67
Hong Kong,Istanbul,1,4,1464,normal,47
Hong Kong,Hamburg,2,5,9160,normal,65
Hong Kong,Rotterdam,2,3,3504,fragile,59
Hong Kong,Antwerp,1,3,5203,fragile,49
Hong Kong,London,3,5,2095,normal,75
Hong Kong,Le Havre,1,3,6114,normal,39
Hong Kong,Barcelona,3,2,7583,normal,51
Hong Kong,Genoa,1,1,7617,fragile,33
Hong Kong,Athens,5,1,5387,fragile,73
Hong Kong,New York,1,4,10696,fragile,57
Hong Kong,Los Angeles,3,1,5045,normal,43
Hong Kong,San Francisco,3,5,11944,fragile,85
Hong Kong,Seattle,2,5,10902,fragile,75
Hong Kong,Houston,5,1,2533,normal,63
Hong Kong,Miami,1,5,2737,fragile,65
Hong Kong,Vancouver,3,1,4787,normal,43
Hong Kong,Toronto,5,5,2347,fragile,105
Hong Kong,Montreal,3,2,8657,normal,51
Hong Kong,Sydney,1,2,7321,fragile,41
Hong Kong,Melbourne,4,5,11853,normal,85
Hong Kong,Auckland,3,2,9603,normal,51
Hong Kong,Cape Town,4,3,3380,normal,69
Hong Kong,Durban,2,4,7280,fragile,67
Hong Kong,Lagos,2,5,9402,fragile,75
Hong Kong,Nairobi,1,2,6033,normal,31
Hong Kong,Santos,4,3,8434,normal,69
Hong Kong,Rio de Janeiro,4,3,10699,normal,69
Hong Kong,Buenos Aires,5,1,1699,normal,63
Hong Kong,Lima,1,5,7180,normal,55
Hong Kong,Panama City,4,1,7854,normal,53
Hong Kong,Manila,5,1,10840,normal,63
Hong Kong,Ho Chi Minh City,5,1,6482,normal,63
Hong Kong,Kuala Lumpur,3,3,2424,normal,59
Tokyo,Mumbai,2,2,3543,fragile,51
Tokyo,Chennai,5,1,7039,fragile,73
Tokyo,Kolkata,2,1,8403,normal,33
Tokyo,Delhi,2,5,6171,normal,65
Tokyo,Visakhapatnam,1,5,10594,fragile,65
Tokyo,Singapore,2,2,3372,normal,41
Tokyo,Shanghai,2,4,11614,fragile,67
Tokyo,Shenzhen,4,1,6010,normal,53
Tokyo,Guangzhou,5,4,9820,fragile,97
Tokyo,Hong Kong,1,5,5553,fragile,65
Tokyo,Tokyo,3,2,6487,normal,51
Tokyo,Osaka,2,4,11598,fragile,67
Tokyo,Busan,5,4,7496,fragile,97
Tokyo,Bangkok,5,2,8553,normal,71
Tokyo,Jakarta,3,1,11856,fragile,53
Tokyo,Dubai,4,2,5658,fragile,71
Tokyo,Doha,4,3,2127,normal,69
Tokyo,Riyadh,2,3,11305,fragile,59
Tokyo,Jeddah,1,5,7058,fragile,65
Tokyo,Istanbul,1,4,6544,fragile,57
Tokyo,Hamburg,1,3,4155,normal,39
Tokyo,Rotterdam,1,3,2131,fragile,49
Tokyo,Antwerp,5,3,10483,normal,79
Tokyo,London,2,2,7430,normal,41
Tokyo,Le Havre,1,3,3957,fragile,49
Tokyo,Barcelona,2,2,10825,fragile,51
Tokyo,Genoa,5,5,9718,fragile,105
Tokyo,Athens,5,1,9375,fragile,73
Tokyo,New York,2,2,1749,fragile,51
Tokyo,Los Angeles,4,5,2677,fragile,95
Tokyo,San Francisco,4,1,1719,normal,53
Tokyo,Seattle,2,4,11831,normal,57
Tokyo,Houston,5,3,5621,fragile,89
Tokyo,Miami,2,5,1548,normal,65
Tokyo,Vancouver,5,4,9653,fragile,97
Tokyo,Toronto,4,2,10853,normal,61
Tokyo,Montreal,5,5,4810,fragile,105
Tokyo,Sydney,2,2,8153,fragile,51
Tokyo,Melbourne,5,1,9409,fragile,73
Tokyo,Auckland,3,3,3162,normal,59
Tokyo,Cape Town,4,2,1706,fragile,71
Tokyo,Durban,2,5,7101,normal,65
Tokyo,Lagos,2,5,8066,fragile,75
Tokyo,Nairobi,3,5,8887,normal,75
Tokyo,Santos,1,1,11030,normal,23
Tokyo,Rio de Janeiro,5,3,5558,fragile,89
Tokyo,Buenos Aires,2,4,2670,normal,57
Tokyo,Lima,5,4,10541,fragile,97
Tokyo,Panama City,1,4,8845,fragile,57
Tokyo,Manila,3,1,3710,normal,43
